id, name, sizeX, sizeY, sizeZ, strainX, strainY, NX, NY, elecX, elecY, elecZ, XY_fig, XZ_fig, data_file
50,thick4voltage-6xsub3.92ysub3.84,40,40,28.8,3.92,3.84,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.92ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.92ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.92ysub3.84-20000-compress8.npz
51,thick4voltage-6xsub3.92ysub3.88,40,40,28.8,3.92,3.88,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.92ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.92ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.92ysub3.88-20000-compress8.npz
52,thick4voltage-6xsub3.92ysub3.92,40,40,28.8,3.92,3.92,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.92ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.92ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.92ysub3.92-20000-compress8.npz
53,thick4voltage-6xsub3.96ysub3.8,40,40,28.8,3.96,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.96ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.96ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.96ysub3.8-20000-compress8.npz
54,thick4voltage-6xsub3.96ysub3.84,40,40,28.8,3.96,3.84,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.96ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.96ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.96ysub3.84-20000-compress8.npz
55,thick4voltage-6xsub3.96ysub3.88,40,40,28.8,3.96,3.88,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.96ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.96ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.96ysub3.88-20000-compress8.npz
56,thick4voltage-6xsub3.96ysub3.92,40,40,28.8,3.96,3.92,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.96ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.96ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.96ysub3.92-20000-compress8.npz
57,thick4voltage-6xsub3.96ysub3.96,40,40,28.8,3.96,3.96,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub3.96ysub3.96-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub3.96ysub3.96-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub3.96ysub3.96-20000-compress8.npz
58,thick4voltage-6xsub4.0ysub3.8,40,40,28.8,4.0,3.8,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub3.8-20000-compress8.npz
59,thick4voltage-6xsub4.0ysub3.84,40,40,28.8,4.0,3.84,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub3.84-20000-compress8.npz
60,thick4voltage-6xsub4.0ysub3.88,40,40,28.8,4.0,3.88,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub3.88-20000-compress8.npz
61,thick4voltage-6xsub4.0ysub3.92,40,40,28.8,4.0,3.92,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub3.92-20000-compress8.npz
62,thick4voltage-6xsub4.0ysub3.96,40,40,28.8,4.0,3.96,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub3.96-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub3.96-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub3.96-20000-compress8.npz
63,thick4voltage-6xsub4.0ysub4.0,40,40,28.8,4.0,4.0,4,4,0,0,-6,./XY_fig/XY_thick4voltage-6xsub4.0ysub4.0-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-6xsub4.0ysub4.0-20000.dat.jpg,./XYZ/XYZ_thick4voltage-6xsub4.0ysub4.0-20000-compress8.npz
64,thick4voltage-4xsub3.8ysub3.8,40,40,28.8,3.8,3.8,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.8ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.8ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.8ysub3.8-20000-compress8.npz
65,thick4voltage-4xsub3.84ysub3.8,40,40,28.8,3.84,3.8,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.84ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.84ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.84ysub3.8-20000-compress8.npz
66,thick4voltage-4xsub3.84ysub3.84,40,40,28.8,3.84,3.84,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.84ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.84ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.84ysub3.84-20000-compress8.npz
67,thick4voltage-4xsub3.88ysub3.8,40,40,28.8,3.88,3.8,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.88ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.88ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.88ysub3.8-20000-compress8.npz
